rawContent,Note
"@JayMastahFlexx @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@verity_blue @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@brob0444 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@yearofelection @DerekSloanCPC @DrAaronRock have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@BeastduEast @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@bethomatic @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@jessejamesrich @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@engpharm @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@docleslie @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@RobertJensen2 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@RaymondGagne10 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@long_daze @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@ElkeBabiuk @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@TomMcGo15951442 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@MisterTommyGee1 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@rob_bristow_CA @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@WGaCdn @DerekSloanCPC @erinotoole have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Endeavourist @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@hommedeseptiles @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@megala4 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@KenCunn77721220 @HarrysNotes @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@HarrysNotes @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@kimcreynolds1 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@d1moore @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@TraciMac70 @SquirlyGirll @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@SquirlyGirll @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@teammoderna1 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@TorontoReader @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"If you have any symptoms, get tested and stay home: 
 
🔸Fever, chills or sweats 
🔸Cough or sore throat 
🔸Shortness of breath 
🔸Runny nose 
🔸Loss of sense of smell or taste 
 
Find out more information on #COVID-19 and testing at https://t.co/ZtmyabhPQB https://t.co/Ohg5K7jS0l",
"@zaranosaur @toriabanks @ConnConnection The symptoms are fever, new or increased cough, new or increased shortness of breath, chills, new or increased muscle pain, new loss of taste or smell, sore throat, diarrhea, or vomiting.",
"@MashwaniAzhar many people have dry cough for months. if there is no temperature, throat-soar, taste change, body-aches and short breath, rest to sur, you are clean Insha Allah",
"Still coughing, still snotty, still short of breath. No fever, negative COVID test. Back to work!

Lock s-foils in attack position.

#MayThe4thBeWithYou",
"@srinivasiyc Hi Sir,
My husband is infected with covid n his spo2 level is 65-70. We urgently need an oxygn cylndr. We’ve tried reaching out to many hospitals but there are no beds available . He is running short of breath. I request you to please help.
Monika Mallick 
9717102859",
"@JustToReadTwee3 @NYGovCuomo 12 year old brought it home from school, infected the other 3 and by a miracle the adults were negative. My point is that 1 still has no smell or taste and gets short of breath a month later and she was perfectly healthy prior to Covid, so kids do spread &amp; they do get long COVID",
"If you have any of these symptoms, however mild, get tested:
🔸Fever, chills or sweats
🔸Cough
🔸Sore throat
🔸Shortness of breath
🔸Runny nose
🔸Loss of sense of smell or taste
Find out where to get tested at ➡️ https://t.co/eC2Bhiz1C2 https://t.co/GoC9PsOccp",
"1. Patient Name : Shive kumar sharma
2. Age : 70
3. Area / Location : Dehradun / uttrakhand
4. Symptoms :  Fever, short of breath, cough, weakness, other
5. Since how many days : 5
6. SPO2 Level : 70
7. Is patient on Oxygen Cylinder ? : No
8. Covid Test Done #SOSIYC",
"Symptoms may appear 2-14 days after exposure to the virus. People with these symptoms may have COVID-19:
Fever or chills
Cough
Shortness of breath or difficulty breathing
Fatigue
Muscle or body aches
Headache
New loss of taste or smell
Sore throat
Congestion or runny nose...",
"Day 9(morning)

Mucus in the throat and chest.
Dry mouth.
Very mild stuffy nose and very mild fever.
Smell and taste sensitivity is completely gone except a very little taste of bitterness.
Mild pain in joints.
Roth score 90 at rest (fast speed)
No shortness of breath.",
"I have the flu 🤧 or something. No energy. Upset stomach. Can barely eat. Congested AF. Short of breath. I'm ""napping"" every two hours. Covid test was negative, thank sweet merciful Zeus. https://t.co/qV9lB0fubd",
